Dates,DIS
2018-06-20,107.9000015258789
2018-06-21,107.25
2018-06-25,106.80000305175781
2018-06-22,106.08000183105469
2018-06-26,104.70999908447266
2018-06-27,105.87999725341797
2018-06-28,105.12000274658203
2018-06-29,105.68000030517578
2018-07-02,105.37000274658203
2018-07-03,105.94999694824219
2018-07-05,105.5999984741211
2018-07-16,105.04000091552734
2018-09-18,106.06999969482422
2019-01-24,106.56999969482422
2019-09-05,109.33999633789062
2018-11-21,109.19999694824219
2020-01-13,110.23999786376953
2020-04-01,110.44999694824219
2020-06-19,112.62000274658203
2019-10-29,111.05999755859375
2020-01-16,114.68000030517578
2020-06-22,112.19999694824219
2018-10-03,111.20999908447266
2018-07-31,111.88999938964844
2019-03-12,111.41999816894531
2019-02-08,114.55999755859375
2019-01-07,114.05000305175781
2018-12-06,113.33999633789062
2019-08-19,114.05000305175781
2019-07-18,113.83000183105469
2019-05-15,113.31999969482422
2019-09-20,114.0999984741211
2019-11-01,116.83999633789062
2020-04-07,117.9000015258789
2020-06-25,116.41000366210938
2020-06-16,114.80000305175781
2019-11-04,113.80000305175781
2020-01-22,112.83999633789062
2019-11-07,113.19000244140625
2020-04-13,113.12000274658203
2019-07-01,113.33000183105469
2019-05-30,112.86000061035156
2018-08-15,113.0
2018-10-18,113.0
2019-03-27,112.75
2019-01-22,112.13999938964844
2018-12-21,112.69999694824219
2019-09-03,112.88999938964844
2018-11-19,112.79000091552734
2019-08-02,112.72000122070312
2020-01-28,112.41999816894531
2020-04-16,112.27999877929688
2019-11-13,112.0
2020-01-31,110.81999969482422
2018-12-04,110.41000366210938
2018-11-02,111.3499984741211
2019-07-16,111.91000366210938
2018-08-30,110.61000061035156
2018-10-01,110.25
2019-06-14,110.72000122070312
2019-05-13,111.25
2019-04-11,109.87999725341797
2019-02-06,109.75
2019-09-18,110.18000030517578
2020-02-03,111.94999694824219
2020-04-22,111.9800033569336
2019-11-19,113.13999938964844
2020-02-06,114.70999908447266
2019-11-22,116.31999969482422
2019-03-25,116.5999984741211
2019-02-21,117.45999908447266
2018-12-19,117.4000015258789
2018-07-12,117.69999694824219
2018-09-14,118.0999984741211
2018-08-13,117.16999816894531
2018-10-16,116.58000183105469
2019-07-31,116.16000366210938
2019-05-28,117.7699966430664
2019-04-26,117.2300033569336
2020-04-28,113.25
2019-11-25,113.2699966430664
2020-02-12,114.62000274658203
2020-05-01,116.37000274658203
2020-05-04,117.22000122070312
2019-06-12,117.12999725341797
2019-04-09,119.16999816894531
2019-03-08,119.69000244140625
2019-02-04,118.48999786376953
2018-07-27,117.05999755859375
2018-08-28,114.69000244140625
2019-01-03,114.13999938964844
2019-08-15,114.94000244140625
2018-10-31,114.88999938964844
2019-09-16,116.5199966430664
2020-02-18,116.27999877929688
2020-05-07,116.94999694824219
2018-08-17,116.22000122070312
2019-12-04,116.83999633789062
2020-02-21,117.29000091552734
2018-12-17,117.83000183105469
2019-08-30,120.19999694824219
2018-11-15,118.45999908447266
2019-07-29,117.77999877929688
2019-06-27,118.22000122070312
2019-04-24,117.43000030517578
2018-07-10,117.33999633789062
2018-09-12,117.83000183105469
2019-02-19,114.58999633789062
2019-01-18,113.98999786376953
2020-02-24,112.79000091552734
2020-05-13,113.18000030517578
2019-12-10,114.0999984741211
2020-02-27,116.30000305175781
2019-12-13,117.13999938964844
2020-05-19,117.06999969482422
2019-03-06,116.91999816894531
2018-11-30,116.29000091552734
2019-08-13,114.33999633789062
2019-07-12,113.98999786376953
2019-06-10,112.29000091552734
2019-05-09,113.72000122070312
2018-07-25,113.9800033569336
2018-09-27,113.5999984741211
2018-10-29,113.91999816894531
2019-10-16,112.88999938964844
2019-12-16,111.08000183105469
2020-03-04,112.12999725341797
2020-05-22,109.20999908447266
2019-10-01,108.75
2019-12-19,103.9000015258789
2018-09-10,105.8499984741211
2019-05-24,106.55000305175781
2018-08-09,108.5199966430664
2019-04-22,109.66999816894531
2019-03-21,109.13999938964844
2019-01-16,108.6500015258789
2019-08-28,110.75
2018-11-13,111.4000015258789
2018-10-12,112.55999755859375
2019-06-25,112.80000305175781
2020-03-10,112.91000366210938
2020-05-28,112.91999816894531
2019-10-07,112.69999694824219
2020-03-13,113.18000030517578
2019-10-10,112.01000213623047
2020-03-16,111.26000213623047
2020-06-03,111.93000030517578
2018-11-28,111.33000183105469
2018-09-25,111.83999633789062
2018-07-23,111.11000061035156
2018-08-24,111.5
2019-07-10,110.98999786376953
2019-05-07,110.93000030517578
2019-04-05,110.58000183105469
2019-03-04,111.54000091552734
2019-01-31,112.05000305175781
2019-09-12,111.9800033569336
2019-12-31,112.73999786376953
2020-03-19,113.91999816894531
2020-01-03,111.11000061035156
2020-06-09,111.54000091552734
2019-02-15,111.80999755859375
2019-01-14,110.83000183105469
2018-07-06,110.4800033569336
2018-08-07,111.5
2018-10-10,112.62999725341797
2018-12-13,113.7699966430664
2019-08-26,114.08999633789062
2019-07-25,114.54000091552734
2019-05-22,115.7699966430664
2019-03-19,115.80000305175781
2020-01-06,114.01000213623047
2020-03-25,113.51000213623047
2020-06-12,113.43000030517578
2019-10-22,114.44000244140625
2020-01-09,114.41999816894531
2020-06-15,114.54000091552734
2019-10-25,115.05000305175781
2020-03-31,114.9000015258789
2020-06-18,113.83999633789062
2019-04-03,115.0
2018-08-22,115.30000305175781
2018-10-25,114.8499984741211
2019-01-29,114.7699966430664
2018-12-28,115.4800033569336
2018-11-26,114.0
2019-08-09,113.70999908447266
2019-07-08,110.87999725341797
2019-06-06,110.1500015258789
2019-09-10,109.0
2020-01-15,109.06999969482422
2020-04-03,110.33999633789062
2019-10-31,111.08999633789062
2020-04-06,111.2699966430664
2020-06-24,111.5999984741211
2018-11-09,112.87000274658203
2019-07-23,113.30999755859375
2019-06-21,113.11000061035156
2019-05-20,114.86000061035156
2019-04-18,115.12999725341797
2018-09-06,115.83000183105469
2018-10-08,117.16000366210938
2019-02-13,118.02999877929688
2018-12-11,117.86000061035156
2019-09-25,130.89999389648438
2020-01-21,132.6999969482422
2020-04-09,132.1300048828125
2019-11-06,132.36000061035156
2020-01-24,132.8699951171875
2020-01-27,132.1999969482422
2020-04-15,134.24000549316406
2018-12-26,135.75
2019-08-07,138.8800048828125
2019-06-04,140.0399932861328
2018-09-21,142.3699951171875
2018-07-19,139.38999938964844
2018-08-20,138.1699981689453
2018-10-23,135.69000244140625
2019-05-03,135.30999755859375
2019-04-01,135.3300018310547
2019-02-28,135.97000122070312
2019-11-12,135.6999969482422
2020-01-30,136.47999572753906
2019-11-15,134.32000732421875
2020-04-21,132.66000366210938
2019-04-16,134.66000366210938
2019-03-15,135.2100067138672
2019-02-11,136.39999389648438
2019-01-10,135.97999572753906
2019-08-22,134.39999389648438
2018-11-07,134.57000732421875
2018-08-03,134.1699981689453
2018-09-04,133.5500030517578
2019-06-19,133.2899932861328
2019-09-23,134.0399932861328
2019-11-18,132.14999389648438
2020-02-05,132.67999267578125
2020-04-24,132.92999267578125
2019-03-29,132.9499969482422
2019-11-21,134.8800048828125
2020-04-27,136.0
2020-02-11,137.44000244140625
2020-04-30,138.75999450683594
2019-05-01,138.8800048828125
2019-02-26,137.75
2019-01-25,136.27999877929688
2018-12-24,141.85000610351562
2019-09-06,142.9499969482422
2018-07-17,141.47999572753906
2018-09-19,143.50999450683594
2019-08-05,141.07000732421875
2019-10-08,142.22999572753906
2019-12-11,142.0
2019-11-27,140.47000122070312
2020-02-14,140.41000366210938
2020-05-06,140.74000549316406
2019-01-08,141.74000549316406
2018-12-07,140.2100067138672
2019-08-20,141.9499969482422
2018-11-05,142.86000061035156
2019-07-19,143.0
2018-10-04,142.88999938964844
2019-06-17,142.22999572753906
2019-05-16,141.72000122070312
2018-08-01,144.25
2019-03-13,145.33999633789062
2019-12-03,145.42999267578125
2020-02-20,145.36000061035156
2019-12-06,144.99000549316406
2020-05-12,144.67999267578125
2019-12-09,142.4600067138672
2020-02-26,142.24000549316406
2020-05-15,141.44000244140625
2019-03-28,142.5399932861328
2018-09-17,141.58999633789062
2018-08-16,143.22999572753906
2018-10-19,145.19000244140625
2019-04-29,147.14999389648438
2019-01-23,146.8000030517578
2019-09-04,145.0
2018-11-20,144.52999877929688
2019-07-02,142.22000122070312
2019-05-31,140.22999572753906
2019-12-12,141.9499969482422
2020-05-18,135.8699951171875
2019-09-27,138.0
2020-03-03,139.24000549316406
2020-05-21,137.57000732421875
2019-05-14,137.9199981689453
2018-08-31,135.14999389648438
2018-07-30,134.27999877929688
2018-10-02,135.5
2019-04-12,137.6199951171875
2019-03-11,136.0399932861328
2019-02-07,136.05999755859375
2019-07-17,136.6699981689453
2019-09-19,136.44000244140625
2019-10-21,134.63999938964844
2019-12-18,135.99000549316406
2020-03-06,136.72999572753906
2019-10-03,138.67999267578125
2020-03-09,138.5
2020-05-27,136.4199981689453
2019-12-24,138.1999969482422
2020-03-12,139.27000427246094
2018-12-20,139.80999755859375
2019-08-01,140.0800018310547
2018-08-14,138.44000244140625
2018-07-13,136.24000549316406
2018-10-17,138.6699981689453
2019-05-29,138.22000122070312
2019-03-26,137.24000549316406
2019-02-22,136.72999572753906
2019-10-04,137.07000732421875
2019-11-05,137.36000061035156
2019-12-27,133.22999572753906
2020-06-02,132.88999938964844
2019-12-30,134.14999389648438
2020-03-18,133.4199981689453
2020-06-05,133.3000030517578
2019-07-15,131.0
2018-12-03,130.86000061035156
2019-06-13,131.77999877929688
2019-01-04,129.22000122070312
2018-08-29,129.42999267578125
2019-02-05,130.44000244140625
2018-11-01,131.57000732421875
2019-08-16,130.0399932861328
2019-04-10,129.85000610351562
2019-09-17,130.13999938964844
2019-10-15,130.99000549316406
2020-01-02,130.3000030517578
2020-06-08,130.88999938964844
2019-10-18,131.8300018310547
2020-03-24,133.44000244140625
2020-06-11,133.16000366210938
2020-01-08,131.72999572753906
2019-04-25,133.67999267578125
2019-07-30,132.67999267578125
2019-02-20,131.6999969482422
2018-07-11,131.75999450683594
2018-09-13,132.0800018310547
2018-10-15,130.77000427246094
2019-06-28,130.30999755859375
2018-12-18,130.14999389648438
2018-11-16,132.8000030517578
2019-10-02,134.13999938964844
2020-03-27,132.77000427246094
2020-01-10,131.66000366210938
2019-10-24,133.6999969482422
2020-03-30,140.25
2020-06-17,138.55999755859375
2020-01-14,139.33999633789062
2020-04-02,149.9199981689453
2019-01-02,150.6300048828125
2019-08-14,147.1999969482422
2018-10-30,149.0399932861328
2019-06-11,149.47999572753906
2019-05-10,148.99000549316406
2019-04-08,147.47000122070312
2018-08-27,149.44000244140625
2018-07-26,150.2100067138672
2018-09-28,153.41000366210938
2019-03-07,152.57000732421875
2019-10-30,152.47000122070312
2020-01-17,152.97000122070312
2020-06-23,149.11000061035156
2020-04-08,149.3300018310547
2020-06-26,148.8300018310547
2019-03-22,148.61000061035156
2019-01-17,148.50999450683594
2019-08-29,146.85000610351562
2018-11-14,147.88999938964844
2019-06-26,148.92999267578125
2018-09-11,147.8000030517578
2018-07-09,148.64999389648438
2018-08-10,148.4600067138672
2019-04-23,147.9499969482422
2019-09-30,146.8000030517578
2020-01-23,147.8800048828125
2019-11-08,146.3300018310547
2020-04-14,145.42999267578125
2019-11-11,145.86000061035156
2020-01-29,146.50999450683594
2020-04-17,145.8699951171875
2018-07-24,144.77000427246094
2018-09-26,148.1999969482422
2019-05-08,147.89999389648438
2019-03-05,146.02999877929688
2019-02-01,146.8699951171875
2018-12-31,146.1300048828125
2018-11-29,146.6300048828125
2019-08-12,145.5
2019-07-11,144.75
2019-09-13,146.72000122070312
2019-11-14,145.7100067138672
2020-04-20,145.42999267578125
2020-02-04,145.63999938964844
2020-04-23,144.58999633789062
2018-12-14,144.7899932861328
2019-08-27,143.61000061035156
2018-08-08,142.25
2018-10-11,137.72999572753906
2018-11-12,138.92999267578125
2019-07-26,138.67999267578125
2019-06-24,137.85000610351562
2019-05-23,138.6699981689453
2019-03-20,141.82000732421875
2019-01-15,145.58999633789062
2019-11-20,147.3000030517578
2020-02-07,143.9499969482422
2020-02-10,141.99000549316406
2020-04-29,142.58999633789062
2019-11-26,142.99000549316406
2020-02-13,142.22000122070312
2019-01-30,141.89999389648438
2018-08-23,141.27999877929688
2018-09-24,139.66000366210938
2018-11-27,141.8699951171875
2018-10-26,141.6300048828125
2019-07-09,139.8800048828125
2019-06-07,134.44000244140625
2019-05-06,133.94000244140625
2019-04-04,128.3699951171875
2019-09-11,122.9000015258789
2019-11-29,118.30999755859375
2020-05-05,119.9800033569336
2019-12-02,121.77999877929688
2020-02-19,119.23999786376953
2020-05-08,116.95999908447266
2019-05-21,115.87000274658203
2019-03-18,110.43000030517578
2018-09-07,111.58000183105469
2018-08-06,108.9000015258789
2018-10-09,100.0
2019-02-14,102.87000274658203
2018-12-12,98.27999877929688
2019-07-24,97.45999908447266
2019-09-26,89.33999633789062
2019-10-28,97.4000015258789
2019-12-05,96.98999786376953
2020-05-11,87.27999877929688
2019-07-03,99.16999816894531
2020-02-25,105.91999816894531
2020-05-14,107.7300033569336
2020-02-28,101.48999786376953
2019-08-08,100.45999908447266
2019-06-05,103.16000366210938
2018-07-20,97.4000015258789
2018-08-21,97.26000213623047
2018-10-24,96.91999816894531
2019-04-02,100.19000244140625
2019-03-01,105.88999938964844
2019-01-28,102.3499984741211
2018-12-27,107.98999786376953
2019-09-09,104.87000274658203
2020-03-02,107.63999938964844
2020-05-20,104.87999725341797
2019-12-17,103.72000122070312
2020-03-05,106.79000091552734
2019-02-12,104.86000061035156
2019-01-11,101.51000213623047
2018-12-10,102.62999725341797
2019-08-23,102.52999877929688
2018-11-08,101.91999816894531
2019-07-22,106.5199966430664
2019-06-20,110.05999755859375
2018-09-05,112.69999694824219
2019-04-17,110.30999755859375
2019-09-24,106.91000366210938
2019-12-20,103.83000183105469
2020-05-26,105.18000030517578
2019-04-30,105.2699966430664
2019-12-23,105.61000061035156
2020-03-11,109.18000030517578
2020-05-29,108.80999755859375
2019-12-26,109.44000244140625
2020-06-01,104.54000091552734
2019-05-02,105.91999816894531
2019-02-27,109.37999725341797
2018-11-23,119.77999877929688
2019-08-06,116.47000122070312
2018-07-18,120.87000274658203
2018-09-20,120.30000305175781
2018-10-22,118.56999969482422
2019-07-05,122.51000213623047
2019-06-03,123.77999877929688
2019-10-09,121.9800033569336
2019-10-11,117.75
2020-03-17,119.6500015258789
2020-06-04,119.8499984741211
2019-10-14,122.44999694824219
2020-03-20,124.5
2018-11-06,127.81999969482422
2019-06-18,127.44000244140625
2019-05-17,125.79000091552734
2019-04-15,124.0999984741211
2019-03-14,118.0
2019-01-09,117.0
2018-08-02,118.12000274658203
2018-10-05,121.5
2019-08-21,119.2300033569336
2019-10-17,118.52999877929688
2020-03-23,120.12000274658203
2020-06-10,116.19000244140625
2019-02-25,117.44999694824219
2020-01-07,116.0
2020-03-26,111.51000213623047
2019-10-23,111.19999694824219
